date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source
2021-04-22,10140.0,46959,0,0,0.0,0.0,,0.0,ohlcv_proxy
2021-04-23,10005.0,298746,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2021-04-26,10085.0,108575,0,0,0.0,0.0,,0.0,ohlcv_proxy
2021-04-27,10145.0,81151,0,0,0.0,0.0,,0.0,ohlcv_proxy
2021-04-28,10110.0,117147,0,0,0.0,0.0,,0.0,ohlcv_proxy
2021-04-29,10105.0,94635,0,0,0.0,0.0,,0.0,ohlcv_proxy
2021-04-30,10070.0,214046,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2021-05-03,10145.0,110266,0,0,0.0,0.0,,0.0,ohlcv_proxy
2021-05-04,10050.0,380308,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2021-05-06,9906.0,291512,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2021-05-07,9950.0,104524,0,0,-0.0,0.0,-0.004619,0.0,ohlcv_proxy
2021-05-10,9940.0,278423,0,0,-0.0,-0.1,-0.00663,0.0,ohlcv_proxy
2021-05-11,9669.0,300255,0,0,-0.0,-0.2,-0.011331,0.0,ohlcv_proxy
2021-05-12,9729.0,107541,0,0,-0.0,-0.2,-0.016964,0.0,ohlcv_proxy
2021-05-13,9599.0,101018,0,0,-0.0,-0.2,-0.020382,0.0,ohlcv_proxy
2021-05-14,9694.0,79218,0,0,-0.0,-0.2,-0.022306,0.0,ohlcv_proxy
2021-05-17,9891.0,91333,0,0,-0.0,-0.2,-0.027059,0.0,ohlcv_proxy
2021-05-18,9867.0,113973,0,0,-0.0,-0.2,-0.019977,0.0,ohlcv_proxy
2021-05-20,9754.0,93185,0,0,-0.0,-0.2,-0.017825,0.0,ohlcv_proxy
2021-05-21,9916.0,180741,0,0,0.0,-0.2,-0.009334,0.0,ohlcv_proxy
2021-05-24,9862.0,86898,0,0,-0.0,-0.2,-0.006448,0.0,ohlcv_proxy
2021-05-25,10020.0,191025,0,0,0.0,-0.1,-0.002198,0.0,ohlcv_proxy
